duration_sec,id
564,2
462,3
272,4
664,5
760,6
1128,7
759,8
564,9
1235,10
858,11
918,12
1090,13
1367,14
613,15
977,16
1007,17
797,18
722,19
975,20
456,21
349,22
516,23
506,24
446,25
227,26
308,27
256,28
218,29
212,30
365,31
345,32
213,33
193,34
286,35
221,36
599,37
188,38
199,39
207,40
158,41
195,42
251,43
282,44
222,45
216,46
195,47
266,48
199,49
233,50
402,51
262,52
233,53
259,54
188,55
251,56
228,57
207,58
215,59
253,60
216,61
204,62
277,63
217,64
224,65
324,66
290,67
293,68
428,69
216,70
160,71
179,72
248,73
190,74
321,75
191,76
187,77
264,78
243,79
304,80
306,81
256,82
345,83
411,84
339,85
361,86
939,87
323,88
289,89
451,90
226,91
301,92
304,93
192,94
343,95
284,96
407,97
282,98
277,99
281,100
257,101
378,102
414,103
328,104
282,105
309,106
259,107
347,108
436,109
209,110
291,111
426,112
338,113
365,114
281,115
397,116
272,117
576,118
383,119
432,120
320,121
260,122
407,123
342,124
352,125
236,126
330,127
249,128
237,129
352,130
248,131
328,132
335,133
325,134
376,135
259,136
321,137
373,138
255,139
336,140
325,141
275,142
305,143
317,144
349,145
303,146
443,147
431,148
293,149
346,150
356,151
298,152
938,153
1013,154
1115,155
1279,156
469,157
619,158
615,159
558,160
556,161
866,162
1282,163
789,164
686,165
586,166
585,167
843,168
469,169
400,170
516,171
397,172
467,173
334,174
301,175
210,176
311,177
412,178
236,179
312,180
271,181
300,182
355,183
649,184
288,185
692,186
1120,187
720,188
687,189
713,190
685,191
911,192
638,193
982,194
167,195
713,196
154,197
197,198
296,199
271,200
217,201
102,202
1304,203
595,204
696,205
664,206
689,207
600,208
877,209
729,210
635,211
647,212
617,213
667,214
632,215
873,216
186,217
199,218
390,219
576,220
512,221
742,222
722,223
711,224
1405,225
591,226
415,227
394,228
472,229
582,230
290,231
550,232
398,233
457,234
390,235
565,236
333,237
1356,238
623,239
92,240
132,241
175,242
138,243
160,244
99,245
128,246
140,247
130,248
134,249
303,250
114,251
117,252
426,253
233,254
524,255
